education_node_id,textbook_id,deleted_at
922,14,
919,14,
1969,14,
923,14,
932,14,
370,14,
931,14,
1970,14,
1971,14,
554,14,
295,14,
751,14,
671,14,
2092,14,
1264,14,
2070,14,
2093,14,
2268,15,
2269,15,
2270,15,
2271,15,
2272,15,
1139,15,
2428,15,
2429,15,
2169,15,
2430,15,
2070,15,
2281,15,
2138,15,
1853,15,
824,15,
2431,15,
1515,15,
789,15,
2432,15,
714,15,
2433,15,
784,15,
2434,15,
1406,15,
2549,1,
1130,18,
98,18,
1340,18,
450,18,
589,18,
75,18,
2577,18,
138,18,
249,18,
90,18,
2578,18,
137,18,
2617,18,
2618,18,
2619,18,
2620,18,
2621,18,
2622,18,
2623,18,
290,18,
612,18,
334,18,
404,18,
333,18,
330,18,
327,18,
326,18,
325,18,
324,18,
323,18,
481,18,
480,18,
1470,1,
2679,13,
2680,13,
2681,13,
2682,13,
2683,13,
245,12,
244,12,
